Year,Age,Domicile,Gender,Level of study,Applicants
2019,19,Scotland,Men,Undergraduate only,20
2019,19,Scotland,Women,Undergraduate only,20
2019,19,Wales,Women,Undergraduate only,10
2019,20,EU (excluding UK),Men,Undergraduate only,10
2019,20,EU (excluding UK),Women,Undergraduate only,20
2019,20,England,Men,Undergraduate only,10
2019,20,England,Women,Undergraduate only,20
2019,20,Not EU,Men,Undergraduate only,10
2019,20,Not EU,Women,Undergraduate only,20
2019,20,Scotland,Men,Undergraduate only,10
2019,20,Scotland,Women,Undergraduate only,10
2019,21-24,EU (excluding UK),Men,Postgraduate only,70
2019,21-24,EU (excluding UK),Men,Undergraduate only,20
2019,21-24,EU (excluding UK),Women,Postgraduate only,100
2019,21-24,EU (excluding UK),Women,Undergraduate only,20
2019,21-24,England,Men,Postgraduate only,180
2019,21-24,England,Men,Undergraduate only,10
2019,21-24,England,Women,Postgraduate only,230
2019,21-24,England,Women,Undergraduate only,20
2019,21-24,Northern Ireland,Men,Postgraduate only,10
2019,21-24,Not EU,Men,Postgraduate only,140
2019,21-24,Not EU,Men,Undergraduate only,20
2019,21-24,Not EU,Women,Postgraduate only,300
2019,21-24,Not EU,Women,Undergraduate only,20
2019,21-24,Scotland,Men,Postgraduate only,20
2019,21-24,Scotland,Men,Undergraduate only,10
2019,21-24,Scotland,Women,Postgraduate only,30
2019,21-24,Scotland,Women,Undergraduate only,10
2019,21-24,Wales,Men,Postgraduate only,20
2019,21-24,Wales,Women,Postgraduate only,20
2019,25-29,EU (excluding UK),Men,Postgraduate only,40
2019,25-29,EU (excluding UK),Men,Undergraduate only,10
2019,25-29,EU (excluding UK),Women,Postgraduate only,50
2019,25-29,EU (excluding UK),Women,Undergraduate only,10
2019,25-29,England,Men,Postgraduate only,80
2019,25-29,England,Women,Postgraduate only,130
2019,25-29,England,Women,Undergraduate only,10
2019,25-29,Not EU,Men,Postgraduate only,70
2019,25-29,Not EU,Men,Undergraduate only,10
2019,25-29,Not EU,Women,Postgraduate only,110
2019,25-29,Not EU,Women,Undergraduate only,10
2019,25-29,Scotland,Men,Postgraduate only,10
2019,25-29,Scotland,Men,Undergraduate only,10
2019,25-29,Scotland,Women,Postgraduate only,10
2019,25-29,Wales,Men,Postgraduate only,10
2019,25-29,Wales,Women,Postgraduate only,10
2019,30-34,England,Men,Postgraduate only,10
2019,30-34,England,Women,Postgraduate only,10
2019,30-34,Not EU,Men,Postgraduate only,20
2019,30-34,Not EU,Women,Postgraduate only,20
2019,35 and over,England,Men,Postgraduate only,10
2019,35 and over,England,Women,Postgraduate only,10
2019,35 and over,Not EU,Men,Postgraduate only,10
2019,35 and over,Not EU,Women,Postgraduate only,10
2020,17 and under,EU (excluding UK),Women,Undergraduate only,10
2020,17 and under,Not EU,Men,Undergraduate only,10
2020,17 and under,Not EU,Women,Undergraduate only,20
2020,18,EU (excluding UK),Men,Undergraduate only,30
2020,18,EU (excluding UK),Women,Undergraduate only,40
2020,18,England,Men,Combination,10
2020,18,England,Men,Undergraduate only,320
2020,18,England,Women,Combination,10
2020,18,England,Women,Undergraduate only,290
2020,18,Northern Ireland,Men,Undergraduate only,10
2020,18,Northern Ireland,Women,Undergraduate only,10
2020,18,Not EU,Men,Undergraduate only,60
2020,18,Not EU,Women,Undergraduate only,90
2020,18,Scotland,Men,Undergraduate only,60
2020,18,Scotland,Women,Undergraduate only,60
2020,18,Wales,Men,Undergraduate only,20
2020,18,Wales,Women,Undergraduate only,40
2020,19,EU (excluding UK),Men,Undergraduate only,30
2020,19,EU (excluding UK),Women,Undergraduate only,30
2020,19,England,Men,Undergraduate only,90
2020,19,England,Women,Undergraduate only,90
2020,19,Not EU,Men,Undergraduate only,40
2020,19,Not EU,Women,Undergraduate only,50
2020,19,Scotland,Men,Undergraduate only,20
2020,19,Scotland,Women,Undergraduate only,30
2020,19,Wales,Men,Undergraduate only,10
2020,19,Wales,Women,Undergraduate only,10
2020,20,EU (excluding UK),Men,Undergraduate only,10
2020,20,EU (excluding UK),Women,Undergraduate only,10
2020,20,England,Men,Undergraduate only,20
2020,20,England,Women,Undergraduate only,20
2020,20,Not EU,Men,Undergraduate only,10
2020,20,Not EU,Women,Postgraduate only,10
2020,20,Not EU,Women,Undergraduate only,20
2020,20,Scotland,Men,Undergraduate only,10
2020,20,Scotland,Women,Undergraduate only,10
2020,21-24,EU (excluding UK),Men,Postgraduate only,50
2020,21-24,EU (excluding UK),Men,Undergraduate only,20
2020,21-24,EU (excluding UK),Women,Postgraduate only,90
2020,21-24,EU (excluding UK),Women,Undergraduate only,30
2020,21-24,England,Men,Postgraduate only,190
2020,21-24,England,Men,Undergraduate only,20
2020,21-24,England,Women,Postgraduate only,200
2020,21-24,England,Women,Undergraduate only,20
2020,21-24,Northern Ireland,Women,Postgraduate only,10
2020,21-24,Not EU,Men,Combination,10
2020,21-24,Not EU,Men,Postgraduate only,160
2020,21-24,Not EU,Men,Undergraduate only,20
2020,21-24,Not EU,Women,Postgraduate only,410
2020,21-24,Not EU,Women,Undergraduate only,30
2020,21-24,Scotland,Men,Postgraduate only,20
2020,21-24,Scotland,Men,Undergraduate only,20
2020,21-24,Scotland,Women,Postgraduate only,30
2020,21-24,Scotland,Women,Undergraduate only,10
2020,21-24,Wales,Men,Postgraduate only,20
2020,21-24,Wales,Women,Postgraduate only,20
2020,25-29,EU (excluding UK),Men,Postgraduate only,50
2020,25-29,EU (excluding UK),Men,Undergraduate only,10
2020,25-29,EU (excluding UK),Women,Postgraduate only,50
2020,25-29,England,Men,Postgraduate only,90
2020,25-29,England,Men,Undergraduate only,10
2020,25-29,England,Women,Postgraduate only,110
2020,25-29,England,Women,Undergraduate only,10
2020,25-29,Not EU,Men,Postgraduate only,110
2020,25-29,Not EU,Men,Undergraduate only,10
2020,25-29,Not EU,Women,Postgraduate only,130
2020,25-29,Scotland,Men,Postgraduate only,10
2020,25-29,Scotland,Women,Postgraduate only,20
2020,25-29,Wales,Women,Postgraduate only,10
2020,30-34,EU (excluding UK),Men,Postgraduate only,10
2020,30-34,EU (excluding UK),Women,Postgraduate only,10
2020,30-34,England,Men,Postgraduate only,20
2020,30-34,England,Women,Postgraduate only,20
2020,30-34,Not EU,Men,Postgraduate only,10
2020,30-34,Not EU,Women,Postgraduate only,20
2020,35 and over,England,Men,Postgraduate only,10
2020,35 and over,England,Women,Postgraduate only,20
2020,35 and over,Not EU,Men,Postgraduate only,10
2020,35 and over,Not EU,Women,Postgraduate only,10
2021,17 and under,EU (excluding UK),Women,Undergraduate only,10
2021,17 and under,Not EU,Men,Undergraduate only,10
2021,17 and under,Not EU,Women,Undergraduate only,20
2021,18,EU (excluding UK),Men,Undergraduate only,30
2021,18,EU (excluding UK),Women,Undergraduate only,40
2021,18,England,Men,Combination,10
2021,18,England,Men,Undergraduate only,330
2021,18,England,Women,Undergraduate only,260
2021,18,Northern Ireland,Women,Undergraduate only,10
2021,18,Not EU,Men,Undergraduate only,80
2021,18,Not EU,Women,Undergraduate only,120
2021,18,Scotland,Men,Undergraduate only,50
2021,18,Scotland,Women,Undergraduate only,40
2021,18,Wales,Men,Undergraduate only,20
2021,18,Wales,Women,Undergraduate only,20
2021,19,EU (excluding UK),Men,Undergraduate only,10
2021,19,EU (excluding UK),Women,Undergraduate only,30
2021,19,England,Men,Undergraduate only,90
2021,19,England,Women,Undergraduate only,70
2021,19,Not EU,Men,Undergraduate only,40
2021,19,Not EU,Women,Undergraduate only,50
2021,19,Scotland,Men,Undergraduate only,10
2021,19,Scotland,Women,Undergraduate only,30
2021,19,Wales,Men,Undergraduate only,10
2021,19,Wales,Women,Undergraduate only,10
2021,20,EU (excluding UK),Men,Undergraduate only,10
2021,20,EU (excluding UK),Women,Undergraduate only,10
2021,20,England,Men,Undergraduate only,20
2021,20,England,Women,Undergraduate only,10
2021,20,Not EU,Men,Undergraduate only,20
2021,20,Not EU,Women,Undergraduate only,20
2021,20,Scotland,Men,Undergraduate only,10
2021,21-24,EU (excluding UK),Men,Postgraduate only,60
2021,21-24,EU (excluding UK),Men,Undergraduate only,10
2021,21-24,EU (excluding UK),Women,Postgraduate only,70
2021,21-24,EU (excluding UK),Women,Undergraduate only,20
2021,21-24,England,Men,Postgraduate only,180
2021,21-24,England,Men,Undergraduate only,20
2021,21-24,England,Women,Postgraduate only,230
2021,21-24,England,Women,Undergraduate only,20
2021,21-24,Northern Ireland,Women,Postgraduate only,10
2021,21-24,Not EU,Men,Postgraduate only,230
2021,21-24,Not EU,Men,Undergraduate only,20
2021,21-24,Not EU,Women,Postgraduate only,380
2021,21-24,Not EU,Women,Undergraduate only,30
2021,21-24,Scotland,Men,Postgraduate only,40
2021,21-24,Scotland,Men,Undergraduate only,10
2021,21-24,Scotland,Women,Postgraduate only,30
2021,21-24,Scotland,Women,Undergraduate only,10
2021,21-24,Wales,Men,Postgraduate only,20
2021,21-24,Wales,Women,Postgraduate only,30
2021,25-29,EU (excluding UK),Men,Postgraduate only,40
2021,25-29,EU (excluding UK),Men,Undergraduate only,10
2021,25-29,EU (excluding UK),Women,Postgraduate only,50
2021,25-29,EU (excluding UK),Women,Undergraduate only,10
2021,25-29,England,Men,Postgraduate only,90
2021,25-29,England,Women,Postgraduate only,100
2021,25-29,Not EU,Men,Postgraduate only,100
2021,25-29,Not EU,Women,Postgraduate only,140
2021,25-29,Not EU,Women,Undergraduate only,10
2021,25-29,Scotland,Men,Postgraduate only,10
2021,25-29,Scotland,Men,Undergraduate only,10
2021,25-29,Scotland,Women,Postgraduate only,10
2021,25-29,Wales,Men,Postgraduate only,10
2021,30-34,EU (excluding UK),Men,Postgraduate only,10
2021,30-34,England,Men,Postgraduate only,10
2021,30-34,England,Women,Postgraduate only,30
2021,30-34,Not EU,Men,Postgraduate only,20
2021,30-34,Not EU,Women,Postgraduate only,20
2021,35 and over,England,Men,Postgraduate only,10
2021,35 and over,England,Women,Postgraduate only,10
2021,35 and over,Not EU,Men,Postgraduate only,10
2021,35 and over,Not EU,Women,Postgraduate only,10
2022,17 and under,Not EU,Men,Undergraduate only,10
2022,17 and under,Not EU,Women,Undergraduate only,20
2022,18,EU (excluding UK),Men,Undergraduate only,20
2022,18,EU (excluding UK),Women,Undergraduate only,40
2022,18,England,Men,Combination,10
2022,18,England,Men,Undergraduate only,310
2022,18,England,Women,Undergraduate only,280
2022,18,Northern Ireland,Men,Undergraduate only,10
2022,18,Northern Ireland,Women,Undergraduate only,10
2022,18,Not EU,Men,Undergraduate only,90
2022,18,Not EU,Women,Undergraduate only,110
2022,18,Scotland,Men,Undergraduate only,50
2022,18,Scotland,Women,Undergraduate only,30
2022,18,Wales,Men,Undergraduate only,10
2022,18,Wales,Women,Undergraduate only,20
2022,19,EU (excluding UK),Men,Undergraduate only,10
2022,19,EU (excluding UK),Women,Undergraduate only,20
2022,19,England,Men,Undergraduate only,80
2022,19,England,Women,Undergraduate only,70
2022,19,Not EU,Men,Undergraduate only,40
2022,19,Not EU,Women,Undergraduate only,50
2022,19,Scotland,Men,Undergraduate only,20
2022,19,Scotland,Women,Undergraduate only,10
2022,20,England,Men,Undergraduate only,10
2022,20,England,Women,Undergraduate only,20
2022,20,Not EU,Men,Undergraduate only,10
2022,20,Not EU,Women,Undergraduate only,20
2022,20,Scotland,Men,Undergraduate only,10
2022,21-24,EU (excluding UK),Men,Postgraduate only,30
2022,21-24,EU (excluding UK),Men,Undergraduate only,10
2022,21-24,EU (excluding UK),Women,Postgraduate only,50
2022,21-24,EU (excluding UK),Women,Undergraduate only,10
2022,21-24,England,Men,Postgraduate only,190
2022,21-24,England,Men,Undergraduate only,10
2022,21-24,England,Women,Postgraduate only,190
2022,21-24,England,Women,Undergraduate only,10
2022,21-24,Not EU,Men,Postgraduate only,240
2022,21-24,Not EU,Men,Undergraduate only,20
2022,21-24,Not EU,Women,Postgraduate only,460
2022,21-24,Not EU,Women,Undergraduate only,20
2022,21-24,Scotland,Men,Postgraduate only,20
2022,21-24,Scotland,Women,Postgraduate only,30
2022,21-24,Wales,Men,Postgraduate only,10
2022,21-24,Wales,Women,Postgraduate only,20
2022,25-29,EU (excluding UK),Men,Postgraduate only,30
2022,25-29,EU (excluding UK),Women,Postgraduate only,30
2022,25-29,England,Men,Postgraduate only,80
2022,25-29,England,Men,Undergraduate only,10
2022,25-29,England,Women,Postgraduate only,110
2022,25-29,Not EU,Men,Postgraduate only,90
2022,25-29,Not EU,Men,Undergraduate only,10
2022,25-29,Not EU,Women,Postgraduate only,120
2022,25-29,Not EU,Women,Undergraduate only,10
2022,25-29,Scotland,Men,Postgraduate only,10
2022,25-29,Scotland,Women,Postgraduate only,10
2022,25-29,Wales,Men,Postgraduate only,10
2022,25-29,Wales,Women,Postgraduate only,10
2022,30-34,England,Men,Postgraduate only,20
2022,30-34,England,Women,Postgraduate only,30
2022,30-34,Not EU,Men,Postgraduate only,20
2022,30-34,Not EU,Women,Postgraduate only,20
2022,35 and over,England,Men,Postgraduate only,10
2022,35 and over,England,Women,Postgraduate only,10
2022,35 and over,Not EU,Men,Postgraduate only,20
2022,35 and over,Not EU,Women,Postgraduate only,10
2023,17 and under,EU (excluding UK),Men,Undergraduate only,10
2023,17 and under,EU (excluding UK),Women,Undergraduate only,10
2023,17 and under,Not EU,Men,Undergraduate only,20
2023,17 and under,Not EU,Women,Undergraduate only,30
2023,18,EU (excluding UK),Men,Undergraduate only,10
2023,18,EU (excluding UK),Women,Undergraduate only,20
2023,18,England,Men,Undergraduate only,320
2023,18,England,Women,Undergraduate only,260
2023,18,Northern Ireland,Men,Undergraduate only,10
2023,18,Northern Ireland,Women,Undergraduate only,10
2023,18,Not EU,Men,Undergraduate only,90
2023,18,Not EU,Women,Combination,10
2023,18,Not EU,Women,Undergraduate only,140
2023,18,Scotland,Men,Undergraduate only,40
2023,18,Scotland,Women,Undergraduate only,50
2023,18,Wales,Men,Undergraduate only,20
2023,18,Wales,Women,Undergraduate only,20
2023,19,EU (excluding UK),Men,Undergraduate only,10
2023,19,EU (excluding UK),Women,Undergraduate only,20
2023,19,England,Men,Undergraduate only,100
2023,19,England,Women,Undergraduate only,60
2023,19,Not EU,Men,Undergraduate only,40
2023,19,Not EU,Women,Undergraduate only,80
2023,19,Scotland,Men,Undergraduate only,20
2023,19,Scotland,Women,Undergraduate only,10
2023,19,Wales,Women,Undergraduate only,10
2023,20,EU (excluding UK),Women,Undergraduate only,10
2023,20,England,Men,Undergraduate only,20
2023,20,England,Women,Undergraduate only,20
2023,20,Not EU,Men,Undergraduate only,20
2023,20,Not EU,Women,Postgraduate only,10
2023,20,Not EU,Women,Undergraduate only,20
2023,20,Scotland,Men,Undergraduate only,10
2023,21-24,EU (excluding UK),Men,Postgraduate only,50
2023,21-24,EU (excluding UK),Men,Undergraduate only,10
2023,21-24,EU (excluding UK),Women,Postgraduate only,50
2023,21-24,EU (excluding UK),Women,Undergraduate only,10
2023,21-24,England,Men,Postgraduate only,170
2023,21-24,England,Men,Undergraduate only,10
2023,21-24,England,Women,Postgraduate only,210
2023,21-24,England,Women,Undergraduate only,20
2023,21-24,Not EU,Men,Postgraduate only,270
2023,21-24,Not EU,Men,Undergraduate only,20
2023,21-24,Not EU,Women,Combination,10
2023,21-24,Not EU,Women,Postgraduate only,450
2023,21-24,Not EU,Women,Undergraduate only,20
2023,21-24,Scotland,Men,Postgraduate only,20
2023,21-24,Scotland,Men,Undergraduate only,10
2023,21-24,Scotland,Women,Postgraduate only,30
2023,21-24,Wales,Men,Postgraduate only,10
2023,21-24,Wales,Women,Postgraduate only,20
2023,25-29,EU (excluding UK),Men,Postgraduate only,30
2023,25-29,EU (excluding UK),Women,Postgraduate only,30
2023,25-29,England,Men,Postgraduate only,70
2023,25-29,England,Men,Undergraduate only,10
2023,25-29,England,Women,Postgraduate only,90
2023,25-29,England,Women,Undergraduate only,10
2023,25-29,Not EU,Men,Postgraduate only,130
2023,25-29,Not EU,Men,Undergraduate only,10
2023,25-29,Not EU,Women,Postgraduate only,130
2023,25-29,Not EU,Women,Undergraduate only,10
2023,25-29,Scotland,Men,Postgraduate only,10
2023,25-29,Scotland,Women,Postgraduate only,10
2023,25-29,Wales,Men,Postgraduate only,10
2023,25-29,Wales,Women,Postgraduate only,10
2023,30-34,EU (excluding UK),Men,Postgraduate only,10
2023,30-34,England,Men,Postgraduate only,20
2023,30-34,England,Women,Postgraduate only,20
2023,30-34,Not EU,Men,Postgraduate only,20
2023,30-34,Not EU,Women,Postgraduate only,40
2023,35 and over,England,Men,Postgraduate only,10
2023,35 and over,England,Women,Postgraduate only,20
2023,35 and over,Not EU,Men,Postgraduate only,10
2023,35 and over,Not EU,Women,Postgraduate only,10
